ticker;category;isin;description
003H11;FUNDS;BR003HCTF006;KINEA CO-INVESTIMENTO FDO INV IMOB
02W511;FUNDS;BR02W5CTF007;LC I FUNDO DE INVESTIMENTO IMOBILIARIO
A1AP34;BDR;BRA1APBDR001;ADVANCE AUTO PARTS INC
A1BM34;BDR;BRA1BMBDR006;ABIOMED Inc
A1DI34;BDR;BRA1DIBDR000;ANALOG DEVICES INC
A1DM34;BDR;BRA1DMBDR002;ARCHER-DANIELS-MIDLAND CO
A1EE34;BDR;BRA1EEBDR007;AMEREN CORP
A1EN34;BDR;BRA1ENBDR008;ALLIANT ENERGY CORP
A1EP34;BDR;BRA1EPBDR003;AMERICAN ELECTRIC POWER CO INC
A1ES34;BDR;BRA1ESBDR007;AES CORP
A1FL34;BDR;BRA1FLBDR009;AFLAC INC
A1GI34;BDR;BRA1GIBDR003;AGILENT TECHNOLOGIES INC
A1GN34;BDR;BRA1GNBDR003;ALLEGION PLC
A1IV34;BDR;BRA1IVBDR002;APARTMENT INVESTMENT & MANAGEMENT CO
A1JG34;BDR;BRA1JGBDR001;ARTHUR J GALLAGHER & CO
A1KA34;BDR;BRA1KABDR002;AKAMAI TECHNOLOGIES INC
A1LB34;BDR;BRA1LBBDR008;ALBEMARLE CORP
A1LG34;BDR;BRA1LGBDR007;ALIGN TECHNOLOGY INC
A1LK34;BDR;BRA1LKBDR009;ALASKA AIR GROUP INC
A1LL34;BDR;BRA1LLBDR007;ALLIANCE DATA SYSTEMS CORP
A1LX34;BDR;BRA1LXBDR002;ALEXION PHARMACEUTICALS INC
A1MB34;BDR;BRA1MBBDR006;AMERISOURCEBERGEN CORP
A1MD34;BDR;BRA1MDBDR002;ADVANCED MICRO DEVICES INC
A1ME34;BDR;BRA1MEBDR000;AMETEK INC
A1MP34;BDR;BRA1MPBDR006;AMERIPRISE FINANCIAL INC
A1MT34;BDR;BRA1MTBDR008;APPLIED MATERIALS INC
A1NE34;BDR;BRA1NEBDR008;ARISTA NETWORKS INC
A1NS34;BDR;BRA1NSBDR008;ANSYS INC
A1NT34;BDR;BRA1NTBDR006;ANTHEM INC
A1ON34;BDR;BRA1ONBDR007;AON PLC
A1OS34;BDR;BRA1OSBDR006;AO SMITH CORP
A1PA34;BDR;BRA1PABDR001;APACHE CORP
A1PD34;BDR;BRA1PDBDR005;AIR PRODUCTS & CHEMICALS INC
A1PH34;BDR;BRA1PHBDR006;AMPHENOL CORP
A1RE34;BDR;BRA1REBDR009;ALEXANDRIA REAL ESTATE EQUITIES INC
A1SU34;BDR;BRA1SUBDR003;ASSURANT INC
A1TM34;BDR;BRA1TMBDR008;ATMOS ENERGY CORP
A1TT34;BDR;BRA1TTBDR003;ALLSTATE CORP
A1UT34;BDR;BRA1UTBDR001;AUTODESK INC
A1VB34;BDR;BRA1VBBDR007;AVALONBAY COMMUNITIES INC
A1VY34;BDR;BRA1VYBDR009;AVERY DENNISON CORP
A1WK34;BDR;BRA1WKBDR006;AMERICAN WATER WORKS CO INC
AALL34;BDR;BRAALLBDR003;AMERICAN AIRLINES GROUP INC.
AALR3;SHARES;BRAALRACNOR6;CENTRO DE IMAGEM DIAGNOSTICOS S.A.
AAPL34;BDR;BRAAPLBDR004;APPLE INC.
ABBV34;BDR;BRABBVBDR001;ABBVIE INC.
ABCB4;SHARES;BRABCBACNPR4;BCO ABC BRASIL S.A.
ABCP11;FUNDS;BRABCPCTF000;FDO INV IMOB GRAND PLAZA SHOPPING
ABEV3;SHARES;BRABEVACNOR1;AMBEV S.A.
ABTT34;BDR;BRABTTBDR007;ABBOTT LABORATORIES
ABUD34;BDR;BRABUDBDR009;ANHEUSER-BUSCH INBEV SA/NV
ACNB34;BDR;BRACNBBDR006;ACCENTURE PLC
ADBE34;BDR;BRADBEBDR003;ADOBE INC
ADHM3;SHARES;BRADHMACNOR9;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.
ADPR34;BDR;BRADPRBDR005;AUTOMATIC DATA PROCESSING INC
AFCF11;FUNDS;BRAFCFCTF010;AFRICA FILMES S/C LTDA.
AFCR11;FUNDS;BRAFCRCTF007;AF INVEST FDO INV. IMOB. - RECEBÍVEIS IMOB.
AFCV12;FUNDS;BRAFCVCTF025;A F CINEMA E VIDEO LTDA
AFLT3;SHARES;BRAFLTACNOR1;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A
AFOF11;FUNDS;BRAFOFCTF007;ALIANZA FOFII FDO. INVEST. IMOB.
AGBK11;UNIT;BRAGBKCDAM10;BANCO AGIBANK S.A.
AGBK4;SHARES;BRAGBKACNPR6;BANCO AGIBANK S.A.
AGRA4;SHARES;BRAGRAACNPR3;AGRALE S/A
AGRO3;SHARES;BRAGROACNOR7;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
AHEB3;SHARES;BRAHEBACNOR0;SAO PAULO TURISMO S.A.
AHEB5;SHARES;BRAHEBACNPA3;SAO PAULO TURISMO S.A.
AHEB6;SHARES;BRAHEBACNPB1;SAO PAULO TURISMO S.A.
AIEC11;FUNDS;BRAIECCTF009;AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.
AIGB34;BDR;BRAIGBBDR007;AMERICAN INTERNATIONAL GROUP INC.
ALEF3B;SHARES;BRALEFACNOR3;ALEF S.A.
ALMI11;FUNDS;BRALMICTF003;FDO INV IMOB - FII TORRE ALMIRANTE
ALPA3;SHARES;BRALPAACNOR0;ALPARGATAS S.A.
ALPA4;SHARES;BRALPAACNPR7;ALPARGATAS S.A.
ALPK3;SHARES;BRALPKACNOR9;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
ALSO3;SHARES;BRALSOACNOR5;ALIANSCE SONAE SHOPPING CENTERS S.A.
ALUP11;UNIT;BRALUPCDAM15;ALUPAR INVESTIMENTO S/A
ALUP11F;UNIT;BRALUPCDAM15;ALUPAR INVESTIMENTO S/A
ALUP3;SHARES;BRALUPACNOR8;ALUPAR INVESTIMENTO S/A
ALUP4;SHARES;BRALUPACNPR5;ALUPAR INVESTIMENTO S/A
ALZR11;FUNDS;BRALZRCTF006;ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB
AMAR3;SHARES;BRAMARACNOR4;MARISA LOJAS S.A.
AMBP3;SHARES;BRAMBPACNOR6;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A
AMGN34;BDR;BRAMGNBDR004;AMGEN INC.
AMZG11;UNIT;BRAMZGCDAM10;AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
AMZG3;SHARES;BRAMZGACNOR4;AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
AMZO34;BDR;BRAMZOBDR002;AMAZON.COM, INC
ANCR11B;FUNDS;BRANCRCTF001;FDO INV IMOB - FII ANCAR IC
ANGC11;FUNDS;BRANGCCTF004;FDO INV IMOB RENDA CORPORATIVA ANGICO - FII
ANIM3;SHARES;BRANIMACNOR6;ANIMA HOLDING S.A.
APER3;SHARES;BRAPERACNOR9;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
APTI3;SHARES;BRAPTIACNOR6;SIDERURGICA J. L. ALIPERTI S.A.
